TI=0.05 | U_mean=4.00 | Ct_used=0.92 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_4_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
46.55 3.78 0.23 0.10 0.07 -0.14
46.56 3.79 0.23 0.10 0.07 -0.14
46.57 3.79 0.23 0.10 0.07 -0.14
46.58 3.80 0.23 0.10 0.06 -0.15
46.59 3.80 0.24 0.10 0.06 -0.15
46.60 3.81 0.24 0.10 0.06 -0.15
46.61 3.81 0.24 0.09 0.05 -0.15
46.62 3.81 0.24 0.09 0.05 -0.15
46.63 3.81 0.24 0.09 0.05 -0.15
46.64 3.81 0.24 0.09 0.04 -0.15
46.65 3.81 0.24 0.09 0.04 -0.15
46.66 3.81 0.24 0.09 0.03 -0.15
46.67 3.81 0.24 0.09 0.03 -0.15
46.68 3.80 0.24 0.08 0.02 -0.15
46.69 3.80 0.24 0.08 0.02 -0.15
46.70 3.79 0.24 0.08 0.01 -0.15
46.71 3.78 0.24 0.08 0.01 -0.15
46.72 3.77 0.24 0.08 0.00 -0.15
46.73 3.76 0.24 0.08 -0.01 -0.15
46.74 3.75 0.24 0.07 -0.01 -0.15
46.75 3.75 0.24 0.07 -0.02 -0.15
46.76 3.74 0.24 0.07 -0.03 -0.15
46.77 3.73 0.24 0.07 -0.03 -0.15
46.78 3.72 0.24 0.07 -0.04 -0.15
46.79 3.70 0.24 0.07 -0.05 -0.15
46.80 3.69 0.24 0.07 -0.06 -0.15
46.81 3.67 0.24 0.06 -0.07 -0.14
46.82 3.66 0.24 0.06 -0.08 -0.14
46.83 3.64 0.24 0.06 -0.09 -0.14
46.84 3.63 0.23 0.06 -0.09 -0.14
46.85 3.62 0.23 0.06 -0.10 -0.14
46.86 3.60 0.23 0.06 -0.11 -0.14
46.87 3.60 0.23 0.06 -0.12 -0.14
46.88 3.59 0.23 0.05 -0.13 -0.14
46.89 3.59 0.23 0.05 -0.14 -0.14
46.90 3.60 0.23 0.05 -0.15 -0.14
46.91 3.61 0.23 0.05 -0.16 -0.14
46.92 3.62 0.22 0.05 -0.17 -0.13
46.93 3.64 0.22 0.05 -0.18 -0.13
46.94 3.65 0.22 0.05 -0.19 -0.13
46.95 3.67 0.22 0.04 -0.20 -0.13
46.96 3.69 0.22 0.04 -0.21 -0.13
46.97 3.71 0.21 0.04 -0.22 -0.13
46.98 3.73 0.21 0.04 -0.22 -0.13
46.99 3.74 0.21 0.04 -0.23 -0.12
47.00 3.75 0.21 0.04 -0.24 -0.12
47.01 3.76 0.21 0.04 -0.25 -0.12
47.02 3.76 0.20 0.04 -0.25 -0.12
47.03 3.76 0.20 0.03 -0.26 -0.12
47.04 3.76 0.20 0.03 -0.27 -0.12
47.05 3.75 0.19 0.03 -0.27 -0.12
47.06 3.75 0.19 0.03 -0.28 -0.11
47.07 3.74 0.19 0.03 -0.29 -0.11
47.08 3.74 0.19 0.03 -0.29 -0.11
47.09 3.74 0.18 0.03 -0.30 -0.11
47.10 3.73 0.18 0.03 -0.30 -0.11
47.11 3.73 0.18 0.03 -0.31 -0.11
47.12 3.73 0.17 0.02 -0.31 -0.11
47.13 3.73 0.17 0.02 -0.32 -0.10
47.14 3.72 0.17 0.02 -0.32 -0.10
47.15 3.72 0.16 0.02 -0.33 -0.10
47.16 3.71 0.16 0.02 -0.33 -0.10
47.17 3.70 0.16 0.02 -0.33 -0.10
47.18 3.69 0.15 0.02 -0.34 -0.10
47.19 3.68 0.15 0.02 -0.34 -0.10
47.20 3.67 0.15 0.02 -0.34 -0.09
47.21 3.66 0.14 0.02 -0.35 -0.09
47.22 3.65 0.14 0.01 -0.35 -0.09
47.23 3.64 0.14 0.01 -0.35 -0.09
47.24 3.64 0.13 0.01 -0.35 -0.09
47.25 3.64 0.13 0.01 -0.35 -0.09
47.26 3.64 0.13 0.01 -0.36 -0.09
47.27 3.64 0.12 0.01 -0.36 -0.08
47.28 3.65 0.12 0.01 -0.36 -0.08
47.29 3.66 0.12 0.01 -0.36 -0.08
47.30 3.66 0.11 0.01 -0.36 -0.08
47.31 3.67 0.11 0.01 -0.35 -0.08
47.32 3.67 0.11 0.01 -0.35 -0.08
47.33 3.67 0.10 0.01 -0.35 -0.08
47.34 3.67 0.10 0.00 -0.35 -0.08
47.35 3.66 0.09 0.00 -0.35 -0.07
47.36 3.64 0.09 0.00 -0.34 -0.07
47.37 3.63 0.09 0.00 -0.34 -0.07
47.38 3.61 0.08 0.00 -0.34 -0.07
47.39 3.60 0.08 0.00 -0.33 -0.07
47.40 3.58 0.08 0.00 -0.33 -0.07
47.41 3.57 0.07 -0.00 -0.33 -0.07
47.42 3.56 0.07 -0.00 -0.32 -0.07
47.43 3.56 0.07 -0.00 -0.32 -0.07
47.44 3.56 0.07 -0.00 -0.31 -0.06
47.45 3.57 0.06 -0.00 -0.31 -0.06
47.46 3.57 0.06 -0.00 -0.30 -0.06
47.47 3.58 0.06 -0.00 -0.29 -0.06
47.48 3.60 0.05 -0.00 -0.29 -0.06
47.49 3.61 0.05 -0.01 -0.28 -0.06
47.50 3.62 0.05 -0.01 -0.27 -0.06
47.51 3.63 0.04 -0.01 -0.26 -0.06
47.52 3.64 0.04 -0.01 -0.26 -0.06
47.53 3.64 0.04 -0.01 -0.25 -0.06
47.54 3.64 0.04 -0.01 -0.24 -0.06
47.55 3.63 0.03 -0.01 -0.23 -0.05
47.56 3.62 0.03 -0.01 -0.22 -0.05
47.57 3.62 0.03 -0.01 -0.21 -0.05
47.58 3.61 0.03 -0.01 -0.20 -0.05
47.59 3.60 0.03 -0.01 -0.19 -0.05
47.60 3.60 0.02 -0.01 -0.18 -0.05
47.61 3.60 0.02 -0.01 -0.17 -0.05
47.62 3.60 0.02 -0.01 -0.16 -0.05
47.63 3.60 0.02 -0.01 -0.15 -0.05
47.64 3.61 0.02 -0.01 -0.14 -0.05
47.65 3.62 0.02 -0.01 -0.13 -0.05
47.66 3.63 0.02 -0.01 -0.12 -0.05
47.67 3.65 0.01 -0.01 -0.11 -0.04
47.68 3.66 0.01 -0.01 -0.10 -0.04
47.69 3.67 0.01 -0.02 -0.09 -0.04
47.70 3.68 0.01 -0.02 -0.08 -0.04
47.71 3.68 0.01 -0.02 -0.06 -0.04
47.72 3.68 0.01 -0.02 -0.05 -0.04
47.73 3.68 0.01 -0.02 -0.04 -0.04
47.74 3.68 0.01 -0.02 -0.03 -0.04
47.75 3.67 0.01 -0.02 -0.02 -0.04
47.76 3.66 0.01 -0.02 -0.01 -0.04
47.77 3.65 0.01 -0.02 0.01 -0.04
47.78 3.64 0.01 -0.02 0.02 -0.03
47.79 3.63 0.01 -0.02 0.03 -0.03
47.80 3.62 0.01 -0.02 0.04 -0.03
47.81 3.62 0.01 -0.02 0.05 -0.03
47.82 3.62 0.01 -0.02 0.06 -0.03
47.83 3.62 0.01 -0.02 0.07 -0.03
47.84 3.62 0.01 -0.02 0.08 -0.03
47.85 3.62 0.01 -0.02 0.09 -0.03
47.86 3.63 0.01 -0.02 0.10 -0.03
47.87 3.63 0.02 -0.02 0.11 -0.03
47.88 3.64 0.02 -0.02 0.12 -0.02
47.89 3.65 0.02 -0.02 0.13 -0.02
47.90 3.66 0.02 -0.02 0.14 -0.02
47.91 3.66 0.02 -0.02 0.15 -0.02
47.92 3.67 0.02 -0.02 0.16 -0.02
47.93 3.68 0.02 -0.02 0.17 -0.02
47.94 3.68 0.03 -0.02 0.18 -0.02
47.95 3.69 0.03 -0.02 0.19 -0.02
47.96 3.69 0.03 -0.02 0.19 -0.01
47.97 3.69 0.03 -0.02 0.20 -0.01
47.98 3.69 0.03 -0.02 0.21 -0.01
47.99 3.70 0.04 -0.02 0.22 -0.01
48.00 3.70 0.04 -0.02 0.22 -0.01
48.01 3.70 0.04 -0.02 0.23 -0.01
48.02 3.70 0.04 -0.02 0.24 -0.00
48.03 3.71 0.04 -0.02 0.24 -0.00
48.04 3.71 0.05 -0.02 0.25 -0.00
48.05 3.72 0.05 -0.02 0.26 0.00
48.06 3.73 0.05 -0.02 0.26 0.00
48.07 3.74 0.05 -0.02 0.27 0.00
48.08 3.75 0.06 -0.02 0.27 0.01
48.09 3.76 0.06 -0.02 0.28 0.01
48.10 3.77 0.06 -0.02 0.28 0.01
48.11 3.78 0.07 -0.02 0.28 0.01
48.12 3.79 0.07 -0.02 0.29 0.01
48.13 3.80 0.07 -0.02 0.29 0.02
48.14 3.81 0.07 -0.02 0.29 0.02
48.15 3.81 0.08 -0.02 0.30 0.02
48.16 3.81 0.08 -0.02 0.30 0.02
48.17 3.81 0.08 -0.02 0.30 0.02
48.18 3.81 0.09 -0.02 0.30 0.03
48.19 3.81 0.09 -0.02 0.30 0.03
48.20 3.80 0.09 -0.02 0.30 0.03
48.21 3.79 0.10 -0.02 0.30 0.03
48.22 3.78 0.10 -0.02 0.30 0.03
48.23 3.77 0.10 -0.02 0.30 0.04
48.24 3.77 0.10 -0.02 0.30 0.04
48.25 3.76 0.11 -0.02 0.30 0.04
48.26 3.75 0.11 -0.02 0.30 0.04
48.27 3.75 0.11 -0.02 0.30 0.05
48.28 3.75 0.12 -0.02 0.29 0.05
48.29 3.75 0.12 -0.02 0.29 0.05
48.30 3.76 0.12 -0.02 0.29 0.05
48.31 3.76 0.12 -0.02 0.28 0.06
48.32 3.77 0.13 -0.02 0.28 0.06
48.33 3.78 0.13 -0.02 0.28 0.06
48.34 3.79 0.13 -0.02 0.27 0.06
48.35 3.80 0.14 -0.01 0.27 0.07
48.36 3.82 0.14 -0.01 0.26 0.07
48.37 3.83 0.14 -0.01 0.26 0.07
48.38 3.84 0.14 -0.01 0.25 0.07
48.39 3.86 0.15 -0.01 0.25 0.08
48.40 3.87 0.15 -0.01 0.24 0.08
48.41 3.88 0.15 -0.01 0.24 0.08
48.42 3.89 0.15 -0.01 0.23 0.09
48.43 3.90 0.16 -0.01 0.23 0.09
48.44 3.90 0.16 -0.01 0.22 0.09
48.45 3.91 0.16 -0.01 0.22 0.09
48.46 3.90 0.16 -0.01 0.21 0.10
48.47 3.90 0.16 -0.00 0.20 0.10
48.48 3.89 0.17 -0.00 0.20 0.10
48.49 3.88 0.17 -0.00 0.19 0.10
48.50 3.87 0.17 -0.00 0.18 0.11
48.51 3.85 0.17 -0.00 0.18 0.11
48.52 3.83 0.17 0.00 0.17 0.11
48.53 3.81 0.18 0.00 0.16 0.11
48.54 3.79 0.18 0.00 0.15 0.12
48.55 3.77 0.18 0.00 0.15 0.12
48.56 3.76 0.18 0.01 0.14 0.12
48.57 3.75 0.18 0.01 0.13 0.12
48.58 3.74 0.18 0.01 0.12 0.13
48.59 3.73 0.18 0.01 0.11 0.13
48.60 3.73 0.18 0.01 0.10 0.13
48.61 3.73 0.19 0.01 0.10 0.13
48.62 3.74 0.19 0.01 0.09 0.13
48.63 3.75 0.19 0.01 0.08 0.14
48.64 3.75 0.19 0.02 0.07 0.14
48.65 3.76 0.19 0.02 0.06 0.14
48.66 3.77 0.19 0.02 0.06 0.14
48.67 3.77 0.19 0.02 0.05 0.14
48.68 3.77 0.19 0.02 0.04 0.15
48.69 3.77 0.19 0.02 0.03 0.15
48.70 3.77 0.19 0.02 0.03 0.15
48.71 3.76 0.19 0.03 0.02 0.15
48.72 3.75 0.19 0.03 0.01 0.15
48.73 3.74 0.19 0.03 0.01 0.15
48.74 3.73 0.19 0.03 -0.00 0.16
48.75 3.72 0.19 0.03 -0.01 0.16
48.76 3.71 0.19 0.03 -0.01 0.16
48.77 3.70 0.19 0.04 -0.02 0.16
48.78 3.69 0.19 0.04 -0.03 0.16
48.79 3.68 0.19 0.04 -0.03 0.16
48.80 3.68 0.19 0.04 -0.04 0.16
48.81 3.67 0.19 0.04 -0.04 0.16
48.82 3.67 0.19 0.04 -0.05 0.17
48.83 3.67 0.19 0.05 -0.05 0.17
48.84 3.67 0.19 0.05 -0.06 0.17
48.85 3.67 0.19 0.05 -0.06 0.17
48.86 3.67 0.19 0.05 -0.06 0.17
48.87 3.68 0.19 0.05 -0.07 0.17
48.88 3.68 0.19 0.05 -0.07 0.17
48.89 3.68 0.19 0.06 -0.07 0.17
48.90 3.69 0.18 0.06 -0.08 0.17
48.91 3.69 0.18 0.06 -0.08 0.17
48.92 3.70 0.18 0.06 -0.08 0.17
48.93 3.70 0.18 0.06 -0.08 0.17
48.94 3.71 0.18 0.06 -0.08 0.17
48.95 3.71 0.18 0.07 -0.08 0.17
48.96 3.71 0.18 0.07 -0.08 0.17
48.97 3.72 0.18 0.07 -0.08 0.17
48.98 3.72 0.18 0.07 -0.08 0.17
48.99 3.72 0.18 0.07 -0.08 0.17
49.00 3.72 0.18 0.07 -0.08 0.17
49.01 3.72 0.18 0.08 -0.08 0.17
49.02 3.72 0.18 0.08 -0.08 0.17
49.03 3.72 0.17 0.08 -0.07 0.17
49.04 3.71 0.17 0.08 -0.07 0.17
49.05 3.71 0.17 0.08 -0.07 0.16
49.06 3.71 0.17 0.08 -0.06 0.16
49.07 3.71 0.17 0.09 -0.06 0.16
49.08 3.71 0.17 0.09 -0.06 0.16
49.09 3.71 0.17 0.09 -0.05 0.16
49.10 3.71 0.17 0.09 -0.05 0.16
49.11 3.71 0.17 0.09 -0.04 0.16
49.12 3.72 0.17 0.09 -0.04 0.16
49.13 3.72 0.17 0.10 -0.03 0.15
49.14 3.72 0.17 0.10 -0.03 0.15
49.15 3.72 0.17 0.10 -0.02 0.15
49.16 3.72 0.17 0.10 -0.01 0.15
49.17 3.72 0.17 0.10 -0.01 0.15
49.18 3.72 0.17 0.10 -0.00 0.15
49.19 3.72 0.17 0.10 0.01 0.14
49.20 3.72 0.17 0.11 0.01 0.14
49.21 3.72 0.17 0.11 0.02 0.14
49.22 3.72 0.17 0.11 0.03 0.14
49.23 3.73 0.17 0.11 0.03 0.14
49.24 3.73 0.17 0.11 0.04 0.13
49.25 3.74 0.17 0.11 0.05 0.13
49.26 3.76 0.17 0.11 0.06 0.13
49.27 3.77 0.17 0.11 0.07 0.13
49.28 3.79 0.17 0.12 0.08 0.12
49.29 3.81 0.17 0.12 0.08 0.12
49.30 3.83 0.17 0.12 0.09 0.12
49.31 3.84 0.17 0.12 0.10 0.12
49.32 3.86 0.18 0.12 0.11 0.11
49.33 3.87 0.18 0.12 0.12 0.11
49.34 3.88 0.18 0.12 0.13 0.11
49.35 3.88 0.18 0.12 0.14 0.11
49.36 3.89 0.18 0.13 0.15 0.10
49.37 3.89 0.18 0.13 0.16 0.10
49.38 3.89 0.18 0.13 0.17 0.10
49.39 3.89 0.19 0.13 0.18 0.09
49.40 3.88 0.19 0.13 0.19 0.09
49.41 3.88 0.19 0.13 0.20 0.09
49.42 3.88 0.19 0.13 0.20 0.09
49.43 3.88 0.19 0.13 0.21 0.08
49.44 3.89 0.20 0.13 0.22 0.08
49.45 3.89 0.20 0.13 0.23 0.08
49.46 3.90 0.20 0.13 0.24 0.08
49.47 3.90 0.20 0.13 0.25 0.07
49.48 3.91 0.20 0.14 0.25 0.07
49.49 3.91 0.21 0.14 0.26 0.07
49.50 3.91 0.21 0.14 0.27 0.06
49.51 3.91 0.21 0.14 0.28 0.06
49.52 3.91 0.22 0.14 0.28 0.06
49.53 3.90 0.22 0.14 0.29 0.06
49.54 3.89 0.22 0.14 0.29 0.05
49.55 3.88 0.22 0.14 0.30 0.05
49.56 3.87 0.23 0.14 0.31 0.05
49.57 3.86 0.23 0.14 0.31 0.05
49.58 3.85 0.23 0.14 0.31 0.04
49.59 3.84 0.24 0.14 0.32 0.04
49.60 3.83 0.24 0.14 0.32 0.04
49.61 3.83 0.24 0.14 0.32 0.04
49.62 3.83 0.25 0.14 0.33 0.03
49.63 3.84 0.25 0.14 0.33 0.03
49.64 3.84 0.25 0.14 0.33 0.03
49.65 3.85 0.26 0.14 0.33 0.03
49.66 3.86 0.26 0.14 0.33 0.02
49.67 3.86 0.26 0.14 0.33 0.02
49.68 3.87 0.27 0.14 0.33 0.02
49.69 3.87 0.27 0.14 0.33 0.02
49.70 3.87 0.27 0.14 0.33 0.01
49.71 3.87 0.28 0.14 0.33 0.01
49.72 3.86 0.28 0.14 0.33 0.01
49.73 3.86 0.28 0.14 0.33 0.01
49.74 3.85 0.29 0.14 0.32 0.01
49.75 3.84 0.29 0.15 0.32 0.00
49.76 3.84 0.29 0.15 0.32 0.00
49.77 3.84 0.30 0.15 0.31 0.00
49.78 3.84 0.30 0.15 0.31 -0.00
49.79 3.84 0.30 0.15 0.30 -0.00
49.80 3.84 0.30 0.15 0.30 -0.00
49.81 3.84 0.31 0.14 0.29 -0.01
49.82 3.85 0.31 0.14 0.29 -0.01
49.83 3.85 0.31 0.14 0.28 -0.01
49.84 3.86 0.32 0.14 0.27 -0.01
49.85 3.86 0.32 0.14 0.27 -0.01
49.86 3.87 0.32 0.14 0.26 -0.01
49.87 3.87 0.32 0.14 0.25 -0.02
49.88 3.87 0.33 0.14 0.24 -0.02
49.89 3.87 0.33 0.14 0.23 -0.02
49.90 3.87 0.33 0.14 0.23 -0.02
49.91 3.87 0.33 0.14 0.22 -0.02
49.92 3.87 0.34 0.14 0.21 -0.02
49.93 3.87 0.34 0.14 0.20 -0.02
49.94 3.87 0.34 0.14 0.19 -0.02
49.95 3.88 0.34 0.14 0.18 -0.03
49.96 3.88 0.34 0.14 0.16 -0.03
49.97 3.88 0.34 0.14 0.15 -0.03
49.98 3.88 0.35 0.14 0.14 -0.03
49.99 3.88 0.35 0.14 0.13 -0.03
50.00 3.88 0.35 0.14 0.12 -0.03
50.01 3.88 0.35 0.14 0.11 -0.03
50.02 3.87 0.35 0.14 0.10 -0.03
50.03 3.86 0.35 0.14 0.08 -0.03
50.04 3.84 0.35 0.14 0.07 -0.03
50.05 3.82 0.35 0.14 0.06 -0.03
50.06 3.81 0.35 0.14 0.04 -0.04
50.07 3.79 0.35 0.14 0.03 -0.04
50.08 3.77 0.35 0.14 0.02 -0.04
50.09 3.75 0.35 0.14 0.00 -0.04
50.10 3.73 0.35 0.14 -0.01 -0.04
50.11 3.72 0.35 0.14 -0.03 -0.04
50.12 3.72 0.35 0.14 -0.04 -0.04
50.13 3.71 0.35 0.14 -0.05 -0.04
50.14 3.71 0.35 0.14 -0.07 -0.04
50.15 3.72 0.35 0.14 -0.08 -0.04
50.16 3.73 0.35 0.14 -0.10 -0.04
50.17 3.73 0.35 0.13 -0.11 -0.04
50.18 3.74 0.35 0.13 -0.12 -0.04
50.19 3.75 0.35 0.13 -0.14 -0.04
50.20 3.76 0.35 0.13 -0.15 -0.04
50.21 3.76 0.34 0.13 -0.17 -0.05
50.22 3.76 0.34 0.13 -0.18 -0.05
50.23 3.76 0.34 0.13 -0.19 -0.05
50.24 3.76 0.34 0.13 -0.20 -0.05
50.25 3.75 0.34 0.13 -0.22 -0.05
50.26 3.75 0.33 0.13 -0.23 -0.05
50.27 3.75 0.33 0.13 -0.24 -0.05
50.28 3.74 0.33 0.13 -0.25 -0.05
50.29 3.74 0.33 0.13 -0.27 -0.05
50.30 3.74 0.32 0.13 -0.28 -0.05
50.31 3.74 0.32 0.13 -0.29 -0.05
50.32 3.74 0.32 0.13 -0.30 -0.05
50.33 3.74 0.32 0.13 -0.31 -0.05
50.34 3.75 0.31 0.13 -0.32 -0.05
50.35 3.75 0.31 0.13 -0.33 -0.06
50.36 3.76 0.31 0.13 -0.34 -0.06
50.37 3.76 0.30 0.13 -0.35 -0.06
50.38 3.77 0.30 0.12 -0.35 -0.06
50.39 3.77 0.30 0.12 -0.36 -0.06
50.40 3.77 0.29 0.12 -0.37 -0.06
50.41 3.78 0.29 0.12 -0.38 -0.06
50.42 3.78 0.28 0.12 -0.38 -0.06
50.43 3.79 0.28 0.12 -0.39 -0.06
50.44 3.79 0.28 0.12 -0.39 -0.06
50.45 3.79 0.27 0.12 -0.40 -0.07
50.46 3.80 0.27 0.12 -0.40 -0.07
50.47 3.81 0.26 0.12 -0.41 -0.07
50.48 3.81 0.26 0.12 -0.41 -0.07
50.49 3.82 0.26 0.12 -0.41 -0.07
50.50 3.83 0.25 0.12 -0.42 -0.07
50.51 3.83 0.25 0.12 -0.42 -0.07
50.52 3.84 0.24 0.12 -0.42 -0.07
50.53 3.84 0.24 0.11 -0.42 -0.08
50.54 3.85 0.24 0.11 -0.42 -0.08
50.55 3.85 0.23 0.11 -0.42 -0.08
50.56 3.85 0.23 0.11 -0.42 -0.08
50.57 3.84 0.22 0.11 -0.42 -0.08
50.58 3.84 0.22 0.11 -0.42 -0.08
50.59 3.84 0.21 0.11 -0.41 -0.08
50.60 3.85 0.21 0.11 -0.41 -0.09
50.61 3.85 0.21 0.11 -0.41 -0.09
50.62 3.85 0.20 0.11 -0.40 -0.09
50.63 3.86 0.20 0.11 -0.40 -0.09
50.64 3.87 0.19 0.11 -0.40 -0.09
50.65 3.87 0.19 0.10 -0.39 -0.09
50.66 3.88 0.19 0.10 -0.39 -0.10
50.67 3.89 0.18 0.10 -0.38 -0.10
50.68 3.90 0.18 0.10 -0.37 -0.10
50.69 3.90 0.18 0.10 -0.37 -0.10
50.70 3.91 0.17 0.10 -0.36 -0.10
50.71 3.91 0.17 0.10 -0.35 -0.10
50.72 3.91 0.16 0.10 -0.34 -0.11
50.73 3.91 0.16 0.10 -0.33 -0.11
50.74 3.91 0.16 0.10 -0.33 -0.11
50.75 3.91 0.15 0.09 -0.32 -0.11
50.76 3.90 0.15 0.09 -0.31 -0.11
50.77 3.90 0.15 0.09 -0.30 -0.11
50.78 3.90 0.15 0.09 -0.29 -0.12
50.79 3.90 0.14 0.09 -0.28 -0.12
50.80 3.90 0.14 0.09 -0.27 -0.12
50.81 3.90 0.14 0.09 -0.26 -0.12
50.82 3.90 0.13 0.09 -0.25 -0.12
50.83 3.91 0.13 0.08 -0.24 -0.12
50.84 3.91 0.13 0.08 -0.23 -0.13
50.85 3.91 0.13 0.08 -0.22 -0.13
50.86 3.91 0.13 0.08 -0.20 -0.13
50.87 3.91 0.12 0.08 -0.19 -0.13
50.88 3.90 0.12 0.08 -0.18 -0.13
50.89 3.90 0.12 0.08 -0.17 -0.13
50.90 3.89 0.12 0.08 -0.16 -0.14
50.91 3.88 0.12 0.07 -0.15 -0.14
50.92 3.88 0.12 0.07 -0.14 -0.14
50.93 3.87 0.11 0.07 -0.13 -0.14
50.94 3.87 0.11 0.07 -0.11 -0.14
50.95 3.87 0.11 0.07 -0.10 -0.14
50.96 3.87 0.11 0.07 -0.09 -0.14
50.97 3.87 0.11 0.07 -0.08 -0.14
50.98 3.88 0.11 0.06 -0.07 -0.15
50.99 3.88 0.11 0.06 -0.06 -0.15
51.00 3.89 0.11 0.06 -0.05 -0.15
51.01 3.89 0.11 0.06 -0.04 -0.15
51.02 3.90 0.11 0.06 -0.03 -0.15
51.03 3.90 0.11 0.06 -0.02 -0.15
51.04 3.90 0.11 0.06 -0.01 -0.15
51.05 3.90 0.11 0.05 0.00 -0.15
51.06 3.89 0.11 0.05 0.01 -0.15
51.07 3.88 0.11 0.05 0.02 -0.15
51.08 3.87 0.11 0.05 0.03 -0.15
51.09 3.86 0.11 0.05 0.04 -0.15
51.10 3.85 0.11 0.05 0.05 -0.16
51.11 3.84 0.11 0.04 0.06 -0.16
51.12 3.83 0.11 0.04 0.06 -0.16
51.13 3.83 0.11 0.04 0.07 -0.16
51.14 3.82 0.11 0.04 0.08 -0.16
51.15 3.82 0.11 0.04 0.08 -0.16
51.16 3.82 0.11 0.04 0.09 -0.16
51.17 3.82 0.11 0.04 0.10 -0.16
51.18 3.83 0.11 0.03 0.10 -0.16
51.19 3.83 0.12 0.03 0.11 -0.16
51.20 3.83 0.12 0.03 0.11 -0.16
51.21 3.83 0.12 0.03 0.12 -0.15
51.22 3.82 0.12 0.03 0.12 -0.15
51.23 3.81 0.12 0.03 0.12 -0.15
51.24 3.80 0.12 0.02 0.13 -0.15
51.25 3.79 0.12 0.02 0.13 -0.15
51.26 3.77 0.12 0.02 0.13 -0.15
51.27 3.75 0.13 0.02 0.13 -0.15
51.28 3.74 0.13 0.02 0.13 -0.15
51.29 3.72 0.13 0.02 0.14 -0.15
51.30 3.71 0.13 0.02 0.14 -0.15
51.31 3.70 0.13 0.01 0.13 -0.15
51.32 3.70 0.13 0.01 0.13 -0.14
51.33 3.70 0.13 0.01 0.13 -0.14
51.34 3.70 0.13 0.01 0.13 -0.14
51.35 3.71 0.14 0.01 0.13 -0.14
51.36 3.72 0.14 0.01 0.13 -0.14
51.37 3.73 0.14 0.01 0.12 -0.14
51.38 3.74 0.14 0.00 0.12 -0.13
51.39 3.75 0.14 0.00 0.12 -0.13
51.40 3.77 0.14 0.00 0.11 -0.13
51.41 3.78 0.14 0.00 0.11 -0.13
51.42 3.79 0.14 -0.00 0.11 -0.13
51.43 3.79 0.15 -0.00 0.10 -0.12
51.44 3.79 0.15 -0.00 0.10 -0.12
51.45 3.80 0.15 -0.00 0.09 -0.12
51.46 3.80 0.15 -0.01 0.09 -0.12
51.47 3.79 0.15 -0.01 0.08 -0.11
51.48 3.79 0.15 -0.01 0.08 -0.11
51.49 3.79 0.15 -0.01 0.07 -0.11
51.50 3.78 0.15 -0.01 0.07 -0.11
51.51 3.78 0.15 -0.01 0.06 -0.10
51.52 3.77 0.15 -0.01 0.05 -0.10
51.53 3.77 0.15 -0.01 0.05 -0.10
51.54 3.76 0.15 -0.01 0.04 -0.10
51.55 3.76 0.15 -0.02 0.03 -0.09
51.56 3.75 0.15 -0.02 0.02 -0.09
51.57 3.75 0.15 -0.02 0.02 -0.09
51.58 3.75 0.15 -0.02 0.01 -0.08
51.59 3.74 0.15 -0.02 0.00 -0.08
51.60 3.74 0.15 -0.02 -0.01 -0.08
51.61 3.74 0.15 -0.02 -0.02 -0.07
51.62 3.74 0.15 -0.02 -0.02 -0.07
51.63 3.74 0.15 -0.02 -0.03 -0.07
51.64 3.75 0.15 -0.02 -0.04 -0.07
51.65 3.75 0.15 -0.02 -0.05 -0.06
51.66 3.76 0.15 -0.02 -0.06 -0.06
51.67 3.76 0.15 -0.02 -0.07 -0.06
51.68 3.77 0.15 -0.02 -0.08 -0.05
51.69 3.77 0.15 -0.03 -0.08 -0.05
51.70 3.78 0.15 -0.03 -0.09 -0.05
51.71 3.78 0.15 -0.03 -0.10 -0.04
51.72 3.78 0.15 -0.03 -0.11 -0.04
51.73 3.77 0.15 -0.03 -0.12 -0.04
51.74 3.77 0.15 -0.03 -0.12 -0.03
51.75 3.76 0.14 -0.03 -0.13 -0.03
51.76 3.75 0.14 -0.03 -0.14 -0.03
51.77 3.74 0.14 -0.03 -0.15 -0.02
51.78 3.73 0.14 -0.03 -0.15 -0.02
51.79 3.72 0.14 -0.03 -0.16 -0.02
51.80 3.71 0.14 -0.03 -0.17 -0.01
51.81 3.70 0.13 -0.03 -0.18 -0.01
51.82 3.69 0.13 -0.03 -0.18 -0.01
51.83 3.69 0.13 -0.03 -0.19 -0.00
51.84 3.68 0.13 -0.03 -0.20 -0.00
51.85 3.68 0.13 -0.03 -0.20 0.00
51.86 3.68 0.13 -0.03 -0.21 0.01
51.87 3.68 0.12 -0.03 -0.21 0.01
51.88 3.68 0.12 -0.03 -0.22 0.01
51.89 3.68 0.12 -0.03 -0.23 0.01
51.90 3.67 0.12 -0.03 -0.23 0.02
51.91 3.67 0.11 -0.03 -0.23 0.02
51.92 3.66 0.11 -0.03 -0.24 0.02
51.93 3.66 0.11 -0.03 -0.24 0.03
51.94 3.65 0.11 -0.03 -0.25 0.03
51.95 3.64 0.10 -0.03 -0.25 0.03
